symbol,name,sector,exchange,yahoo_symbol
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels,NSE,
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels,NSE,
IOC,Indian Oil Corporation,Oil Gas & Consumable Fuels,NSE,
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels,NSE,
GAIL,GAIL India,Oil Gas & Consumable Fuels,NSE,
TCS,Tata Consultancy Services,Information Technology,NSE,
INFY,Infosys,Information Technology,NSE,
HCLTECH,HCL Technologies,Information Technology,NSE,
WIPRO,Wipro,Information Technology,NSE,
TECHM,Tech Mahindra,Information Technology,NSE,
LTM,LTM Limited (ex-LTIMindtree),Information Technology,NSE,
PERSISTENT,Persistent Systems,Information Technology,NSE,
HDFCBANK,HDFC Bank,Financial Services,NSE,
ICICIBANK,ICICI Bank,Financial Services,NSE,
SBIN,State Bank of India,Financial Services,NSE,
KOTAKBANK,Kotak Mahindra Bank,Financial Services,NSE,
AXISBANK,Axis Bank,Financial Services,NSE,
INDUSINDBK,IndusInd Bank,Financial Services,NSE,
BAJFINANCE,Bajaj Finance,Financial Services,NSE,
BAJAJFINSV,Bajaj Finserv,Financial Services,NSE,
HDFCLIFE,HDFC Life Insurance,Financial Services,NSE,
SBILIFE,SBI Life Insurance,Financial Services,NSE,
ICICIGI,ICICI Lombard General Insurance,Financial Services,NSE,
PFC,Power Finance Corporation,Financial Services,NSE,
RECLTD,REC Limited,Financial Services,NSE,
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods,NSE,
ITC,ITC Limited,Fast Moving Consumer Goods,NSE,
NESTLEIND,Nestle India,Fast Moving Consumer Goods,NSE,
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods,NSE,
DABUR,Dabur India,Fast Moving Consumer Goods,NSE,
MARICO,Marico,Fast Moving Consumer Goods,NSE,
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods,NSE,
COLPAL,Colgate-Palmolive India,Fast Moving Consumer Goods,NSE,
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods,NSE,
MARUTI,Maruti Suzuki India,Automobile and Auto Components,NSE,
TMPV,Tata Motors Passenger Vehicles,Automobile and Auto Components,NSE,
TMCV,Tata Motors (Commercial Vehicles),Automobile and Auto Components,NSE,
M&M,Mahindra & Mahindra,Automobile and Auto Components,NSE,
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,NSE,
EICHERMOT,Eicher Motors,Automobile and Auto Components,NSE,
HEROMOTOCO,Hero MotoCorp,Automobile and Auto Components,NSE,
TVSMOTOR,TVS Motor Company,Automobile and Auto Components,NSE,
BOSCHLTD,Bosch,Automobile and Auto Components,NSE,
MOTHERSON,Samvardhana Motherson International,Automobile and Auto Components,NSE,
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,NSE,
DRREDDY,Dr. Reddys Laboratories,Healthcare,NSE,
CIPLA,Cipla,Healthcare,NSE,
DIVISLAB,Divis Laboratories,Healthcare,NSE,
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,NSE,
LUPIN,Lupin,Healthcare,NSE,
AUROPHARMA,Aurobindo Pharma,Healthcare,NSE,
BIOCON,Biocon,Healthcare,NSE,
MAXHEALTH,Max Healthcare Institute,Healthcare,NSE,
TATASTEEL,Tata Steel,Metals & Mining,NSE,
JSWSTEEL,JSW Steel,Metals & Mining,NSE,
HINDALCO,Hindalco Industries,Metals & Mining,NSE,
VEDL,Vedanta,Metals & Mining,NSE,
COALINDIA,Coal India,Metals & Mining,NSE,
JINDALSTEL,Jindal Steel & Power,Metals & Mining,NSE,
SAIL,Steel Authority of India,Metals & Mining,NSE,
NMDC,NMDC,Metals & Mining,NSE,
NTPC,NTPC,Power,NSE,
POWERGRID,Power Grid Corporation of India,Power,NSE,
TATAPOWER,Tata Power Company,Power,NSE,
ADANIPOWER,Adani Power,Power,NSE,
NHPC,NHPC,Power,NSE,
LT,Larsen & Toubro,Capital Goods,NSE,
SIEMENS,Siemens,Capital Goods,NSE,
